,country,country_x,country_y,index,jurisdiction_x,jurisdiction_y,level_0,location_x,location_y,mealsAndIncidentals_x,mealsAndIncidentals_y,season_x,season_y,slug,slug_x,slug_y,total_x,total_y,diff
0,,ALBANIA,Albania,0,US,Canada,0,Tirana,Tirana,95.0,,S1,,albania-tirana,,,285.0,42.38196039,1.2415197203198556
1,,ALBANIA,ALBANIA,0,US,UK,1,Tirana,Tirana,95.0,,S1,,albania-tirana,,,285.0,223.88943429505014,0.27294975261948273
2,,ALBANIA,Albania,0,US,UN,2,Tirana,Tirana,95.0,,S1,,albania-tirana,,,285.0,147.0,0.9387755102040817
3,,ALGERIA,Algeria,1,US,Canada,3,Algiers,Algiers,75.0,,S1,,algeria-algiers,,,255.0,134.44360345995062,-0.44214527080612104
4,,ALGERIA,ALGERIA,1,US,UK,4,Algiers,Algiers,75.0,,S1,,algeria-algiers,,,255.0,286.5505658381503,-0.1101047061130939
5,,ALGERIA,Algeria,1,US,UN,5,Algiers,Algiers,75.0,,S1,,algeria-algiers,,,255.0,211.0,0.20853080568720378
6,,ANGOLA,Angola,2,US,Canada,6,Luanda,Luanda,170.0,,S1,,angola-luanda,,,575.0,262.8024582250278,-0.3531262943726522
7,,ANGOLA,ANGOLA,2,US,UK,7,Luanda,Luanda,170.0,,S1,,angola-luanda,,,575.0,495.8394199859985,0.1596496301488833
8,,ANGOLA,Angola,2,US,UN,8,Luanda,Luanda,170.0,,S1,,angola-luanda,,,575.0,400.0,0.4375
9,,ARGENTINA,Argentina,3,US,Canada,9,Buenos Aires,Buenos Aires,129.0,,S1,,argentina-buenos-aires,,,396.0,95.03023510179705,0.3574627050202949
10,,ARGENTINA,ARGENTINA,3,US,UK,10,Buenos Aires,Buenos Aires,129.0,,S1,,argentina-buenos-aires,,,396.0,231.17322244921485,0.7130011677152401
11,,ARGENTINA,Argentina,3,US,UN,11,Buenos Aires,Buenos Aires,129.0,,S1,,argentina-buenos-aires,,,396.0,229.0,0.7292576419213974
12,,ARMENIA,Armenia,4,US,Canada,12,Yerevan,Yerevan,92.0,,S1,,armenia-yerevan,,,240.0,82.5,0.11515151515151516
13,,ARMENIA,ARMENIA,4,US,UK,13,Yerevan,Yerevan,92.0,,S1,,armenia-yerevan,,,240.0,219.4947249309313,0.09342035475121832
14,,ARMENIA,Armenia,4,US,UN,14,Yerevan,Yerevan,92.0,,S1,,armenia-yerevan,,,240.0,158.0,0.5189873417721519
15,,AUSTRALIA,Australia,5,US,Canada,15,Canberra,Canberra,137.0,,S1,,australia-canberra,,,310.0,153.44785717205997,-0.10718857516281316
16,,AUSTRALIA,AUSTRALIA,5,US,UK,16,Canberra,Canberra,137.0,,S1,,australia-canberra,,,310.0,305.0939189912683,0.0160805597992666
17,,AUSTRIA,Austria,6,US,Canada,17,Vienna,Vienna,133.0,,S1,,austria-vienna,,,374.0,187.01492073,-0.2888267979857245
18,,AUSTRIA,AUSTRIA,6,US,UK,18,Vienna,"Vienna (also applies to Graz, Bregenz, Linz, Klagenfurt, Salzburg, Innsbruck)",133.0,,S1,,austria-vienna,,,374.0,248.482179,0.5051381209917674
19,,AZERBAIJAN,Azerbaijan,7,US,Canada,19,Baku,Baku,115.0,,S1,,azerbaijan-baku,,,361.0,120.25,-0.04365904365904366
20,,AZERBAIJAN,AZERBAIJAN,7,US,UK,20,Baku,Baku,115.0,,S1,,azerbaijan-baku,,,361.0,165.0481115073895,1.1872410214389963
21,,AZERBAIJAN,Azerbaijan,7,US,UN,21,Baku,Baku,115.0,,S1,,azerbaijan-baku,,,361.0,179.0,1.0167597765363128
22,,BAHRAIN,Bahrain,9,US,Canada,22,MANAMA,Manama,122.0,,S1,,bahrain-manama,,,377.0,156.61889282122644,-0.22103905983259872
23,,BAHRAIN,Bahrain,9,US,UN,23,MANAMA,Manama,122.0,,S1,,bahrain-manama,,,377.0,316.0,0.1930379746835443
24,,BANGLADESH,Bangladesh,10,US,Canada,24,Dhaka,Dhaka,90.0,,S1,,bangladesh-dhaka,,,290.0,134.88702396933087,-0.3327749597287934
25,,BANGLADESH,BANGLADESH,10,US,UK,25,Dhaka,Dhaka,90.0,,S1,,bangladesh-dhaka,,,290.0,183.8607517693499,0.5772806170389205
26,,BANGLADESH,Bangladesh,10,US,UN,26,Dhaka,Dhaka,90.0,,S1,,bangladesh-dhaka,,,290.0,139.0,1.0863309352517985
27,,BELARUS,Belarus,11,US,Canada,27,Minsk,Minsk,84.0,,S1,,belarus-minsk,,,274.0,89.29843887179489,-0.0593340593490309
28,,BELARUS,BELARUS,11,US,UK,28,Minsk,Minsk,84.0,,S1,,belarus-minsk,,,274.0,240.0,0.14166666666666666
29,,BELARUS,Belarus,11,US,UN,29,Minsk,Minsk,84.0,,S1,,belarus-minsk,,,274.0,249.0,0.10040160642570281
30,,BELGIUM,Belgium,12,US,Canada,30,Brussels,Brussels,149.0,,S1,,belgium-brussels,,,337.0,157.3720467,-0.053199071090177276
31,,BELGIUM,BELGIUM,12,US,UK,31,Brussels,Brussels,149.0,,S1,,belgium-brussels,,,337.0,281.7297945,0.19618161294615918
32,,BELIZE,BELIZE,13,US,UK,32,Belmopan,Belmopan,93.0,,S1,,belize-belmopan,,,242.0,117.87939032997869,1.0529458060698451
33,,BENIN,Benin,14,US,Canada,33,Cotonou,Cotonou,93.0,,S1,,benin-cotonou,,,240.0,100.3949321194428,-0.07365842043346203
34,,BENIN,Benin,14,US,UN,34,Cotonou,Cotonou,93.0,,S1,,benin-cotonou,,,240.0,221.0,0.08597285067873303
35,,BOLIVIA,Bolivia,15,US,Canada,35,La Paz,La Paz,85.0,,S1,,bolivia-la-paz,,,225.0,69.3,0.22655122655122661
36,,BOLIVIA,BOLIVIA,15,US,UK,36,La Paz,La Paz,85.0,,S1,,bolivia-la-paz,,,225.0,181.33051230459907,0.24082812727096314
37,,BOLIVIA,Bolivia,15,US,UN,37,La Paz,La Paz,85.0,,S1,,bolivia-la-paz,,,225.0,165.0,0.36363636363636365
38,,Bosnia and Herzegovina,Bosnia and Herzegovina,16,US,Canada,38,Sarajevo,Sarajevo,74.0,,S1,,bosnia-and-herzegovina-sarajevo,,,189.0,63.13547195999999,0.17208278805428626
39,,Bosnia and Herzegovina,Bosnia and Herzegovina,16,US,UN,39,Sarajevo,Sarajevo,74.0,,S1,,bosnia-and-herzegovina-sarajevo,,,189.0,124.0,0.5241935483870968
40,,BOTSWANA,Botswana,17,US,Canada,40,Gaborone,Gaborone,90.0,,S1,,botswana-gaborone,,,256.0,93.7664739973626,-0.0401686640948932
41,,BOTSWANA,BOTSWANA,17,US,UK,41,Gaborone,Gaborone,90.0,,S1,,botswana-gaborone,,,256.0,142.52063829411338,0.7962310796819784
42,,BOTSWANA,Botswana,17,US,UN,42,Gaborone,Gaborone,90.0,,S1,,botswana-gaborone,,,256.0,302.0,-0.152317880794702
43,,BRAZIL,Brazil,18,US,Canada,43,Brasilia,Brasilia,123.0,,S1,,brazil-brasilia,,,350.0,106.454291336538,0.155425473747746
44,,BRAZIL,BRAZIL,18,US,UK,44,Brasilia,Brasilia,123.0,,S1,,brazil-brasilia,,,350.0,164.74879094566813,1.1244465467150235
45,,BRAZIL,Brazil,18,US,UN,45,Brasilia,Brasilia,123.0,,S1,,brazil-brasilia,,,350.0,198.0,0.7676767676767676
46,,BRUNEI,BRUNEI,19,US,UK,46,Bandar Seri Begawan,Bandar Seri Begawan,97.0,,S1,,brunei-bandar-seri-begawan,,,290.0,254.77375923560447,0.13826479175125617
47,,BULGARIA,Bulgaria,20,US,Canada,47,Sofia,Sofia,103.0,,S1,,bulgaria-sofia,,,276.0,87.69204411,0.17456493397277706
48,,BULGARIA,BULGARIA,20,US,UK,48,Sofia,Sofia,103.0,,S1,,bulgaria-sofia,,,276.0,244.38721651055198,0.12935530728990918
49,,BULGARIA,Bulgaria,20,US,UN,49,Sofia,Sofia,103.0,,S1,,bulgaria-sofia,,,276.0,216.0,0.2777777777777778
50,,BURKINA FASO,Burkina Faso,21,US,Canada,50,Ouagadougou,Ouagadougou,116.0,,S1,,burkina-faso-ouagadougou,,,297.0,74.44489703359852,0.5581994820631803
51,,BURKINA FASO,Burkina Faso,21,US,UN,51,Ouagadougou,Ouagadougou,116.0,,S1,,burkina-faso-ouagadougou,,,297.0,280.0,0.060714285714285714
52,,BURUNDI,Burundi,23,US,Canada,52,Bujumbura,Bujumbura,67.0,,S1,,burundi-bujumbura,,,187.0,91.5190119959503,-0.26791167716097347
53,,BURUNDI,BURUNDI,23,US,UK,53,Bujumbura,Bujumbura,67.0,,S1,,burundi-bujumbura,,,187.0,157.47538505128298,0.18748717419615843
54,,BURUNDI,Burundi,23,US,UN,54,Bujumbura,Bujumbura,67.0,,S1,,burundi-bujumbura,,,187.0,235.0,-0.20425531914893616
55,,CAMBODIA,Cambodia,25,US,Canada,55,Phnom Penh,Phnom Penh,85.0,,S1,,cambodia-phnom-penh,,,236.0,102.56,-0.171216848673947
56,,CAMBODIA,CAMBODIA,25,US,UK,56,Phnom Penh,Phnom Penh,85.0,,S1,,cambodia-phnom-penh,,,236.0,189.0,0.24867724867724866
57,,CAMBODIA,Cambodia,25,US,UN,57,Phnom Penh,Phnom Penh,85.0,,S1,,cambodia-phnom-penh,,,236.0,146.0,0.6164383561643836
58,,CAMEROON,Cameroon,26,US,Canada,58,Yaounde,Yaoundé,114.0,,S1,,cameroon-yaounde,,,295.0,124.11396871374392,-0.08148936673736332
59,,CAMEROON,CAMEROON,26,US,UK,59,Yaounde,Yaounde,114.0,,S1,,cameroon-yaounde,,,295.0,279.37029236785264,0.05594620494425155
60,,CAMEROON,Cameroon,26,US,UN,60,Yaounde,Yaounde,114.0,,S1,,cameroon-yaounde,,,295.0,226.0,0.3053097345132743
61,,CANADA,Canada,27,US,UN,61,Ottawa,Ottawa,116.0,,S1,,canada-ottawa,,,326.0,351.0,-0.07122507122507123
62,,CENTRAL AFRICAN REPUBLIC,Central African Republic,28,US,Canada,62,Bangui,Bangui,111.0,,S1,,central-african-republic-bangui,,,327.0,106.735664674355,0.039952300279904325
63,,CHILE,Chile,30,US,Canada,63,Santiago,Santiago,116.0,,S1,,chile-santiago,,,306.0,133.40300146777994,-0.13045434717586313
64,,CHILE,CHILE,30,US,UK,64,Santiago,Santiago,116.0,,S1,,chile-santiago,,,306.0,228.06987220693912,0.3416940915473088
65,,CHILE,Chile,30,US,UN,65,Santiago,Santiago,116.0,,S1,,chile-santiago,,,306.0,323.0,-0.05263157894736842
66,,CHINA,China,31,US,Canada,66,Beijing,Beijing,119.0,,S1,,china-beijing,,,377.0,143.9721934761761,-0.17345150388577218
67,,CHINA,CHINA,31,US,UK,67,Beijing,Beijing,119.0,,S1,,china-beijing,,,377.0,303.8374212971249,0.2407951541667703
68,,CHINA,China,31,US,UN,68,Beijing,Beijing,119.0,,S1,,china-beijing,,,377.0,230.0,0.6391304347826087
69,,COLOMBIA,Colombia,32,US,Canada,69,Bogota,Bogotá,105.0,,S1,,colombia-bogota,,,382.0,85.59520163422944,0.22670427775487126
70,,COLOMBIA,COLOMBIA,32,US,UK,70,Bogota,Bogota,105.0,,S1,,colombia-bogota,,,382.0,192.75393332755016,0.981801322574625
71,,COLOMBIA,Colombia,32,US,UN,71,Bogota,Bogota,105.0,,S1,,colombia-bogota,,,382.0,158.0,1.4177215189873418
72,,COMOROS,Comoros,33,US,UN,72,Moroni,Moroni,75.0,,S1,,comoros-moroni,,,191.0,237.0,-0.1940928270042194
73,,COSTA RICA,Costa Rica,34,US,Canada,73,San Jose,San José,109.0,,S1,,costa-rica-san-jose,,,256.0,111.57237116102971,-0.023055628685322696
74,,COSTA RICA,COSTA RICA,34,US,UK,74,San Jose,San Jose,109.0,,S1,,costa-rica-san-jose,,,256.0,238.0,0.07563025210084033
75,,COSTA RICA,Costa Rica,34,US,UN,75,San Jose,San Jose,109.0,,S1,,costa-rica-san-jose,,,256.0,212.0,0.20754716981132076
76,,CROATIA,Croatia,36,US,Canada,76,Zagreb,Zagreb,84.0,,S1,,croatia-zagreb,,,260.0,115.7250336,-0.2741414939628067
77,,CROATIA,CROATIA,36,US,UK,77,Zagreb,Zagreb,84.0,,S1,,croatia-zagreb,,,260.0,230.99758341201652,0.1255529004225711
78,,CUBA,Cuba,37,US,Canada,78,Havana,Havana,111.0,,S1,,cuba-havana,,,316.0,86.86,0.27791848952337095
79,,CUBA,CUBA,37,US,UK,79,Havana,Havana,111.0,,S1,,cuba-havana,,,316.0,198.5,0.5919395465994962
80,,CUBA,Cuba,37,US,UN,80,Havana,Havana,111.0,,S1,,cuba-havana,,,316.0,269.0,0.17472118959107807
81,,CYPRUS,Cyprus,38,US,Canada,81,Nicosia,Nicosia,125.0,,S1,,cyprus-nicosia,,,313.0,139.66331676,-0.10499046635987959
82,,CYPRUS,CYPRUS,38,US,UK,82,Nicosia,Nicosia,125.0,,S1,,cyprus-nicosia,,,313.0,235.64976600000003,0.3282423543760275
83,,CYPRUS,Cyprus,38,US,UN,83,Nicosia,Nicosia,125.0,,S1,,cyprus-nicosia,,,313.0,207.0,0.5120772946859904
84,,Czech Republic,Czech Republic,39,US,Canada,84,Prague,Prague,136.0,,S1,,czech-republic-prague,,,416.0,97.79344678393448,0.3906862317725577
85,,Czech Republic,CZECH REPUBLIC,39,US,UK,85,Prague,Prague,136.0,,S1,,czech-republic-prague,,,416.0,205.60675053600136,1.023279872453211
86,,Czech Republic,Czech Republic,39,US,UN,86,Prague,Prague,136.0,,S1,,czech-republic-prague,,,416.0,258.0,0.6124031007751938
87,,DEMOCRATIC REPUBLIC OF THE CONGO,"Congo, Democratic Republic of",40,US,Canada,87,Kinshasa,Kinshasa,141.0,,S1,,democratic-republic-of-the-congo-kinshasa,,,394.0,174.5,-0.19197707736389685
88,,DEMOCRATIC REPUBLIC OF THE CONGO,"Congo, Dem. Rep.",40,US,UN,88,Kinshasa,Kinshasa,141.0,,S1,,democratic-republic-of-the-congo-kinshasa,,,394.0,283.0,0.392226148409894
89,,DENMARK,Denmark,41,US,Canada,89,Copenhagen,Copenhagen,165.0,,S1,,denmark-copenhagen,,,421.0,227.2634782698611,-0.2739704537828429
90,,DENMARK,DENMARK,41,US,UK,90,Copenhagen,Copenhagen,165.0,,S1,,denmark-copenhagen,,,421.0,328.28095700946733,0.2824380793670549
91,,DOMINICAN REPUBLIC,Dominican Republic,42,US,Canada,91,Santo Domingo,Santo Domingo,100.0,,S1,,dominican-republic-santo-domingo,,,300.0,96.04049746588123,0.041227426331536844
92,,DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,42,US,UK,92,Santo Domingo,Santo Domingo,100.0,,S1,,dominican-republic-santo-domingo,,,300.0,198.0992025515021,0.5143927695620361
93,,DOMINICAN REPUBLIC,Dominican Republic,42,US,UN,93,Santo Domingo,Santo Domingo,100.0,,S1,,dominican-republic-santo-domingo,,,300.0,253.0,0.1857707509881423
94,,ECUADOR,Ecuador,43,US,Canada,94,Quito,Quito,107.0,,S1,,ecuador-quito,,,297.0,113.26,-0.05527105774324567
95,,ECUADOR,ECUADOR,43,US,UK,95,Quito,Quito,107.0,,S1,,ecuador-quito,,,297.0,268.0,0.10820895522388059
96,,ECUADOR,Ecuador,43,US,UN,96,Quito,Quito,107.0,,S1,,ecuador-quito,,,297.0,177.0,0.6779661016949152
97,,EGYPT,Egypt,44,US,Canada,97,Cairo,Cairo,98.0,,S1,,egypt-cairo,,,273.0,86.99974439744197,0.12644009104561765
98,,EGYPT,EGYPT,44,US,UK,98,Cairo,Cairo,98.0,,S1,,egypt-cairo,,,273.0,224.1321043970002,0.2180316636676073
99,,EGYPT,Egypt,44,US,UN,99,Cairo,Cairo,98.0,,S1,,egypt-cairo,,,273.0,278.0,-0.017985611510791366
100,,EL SALVADOR,El Salvador,45,US,Canada,100,San Salvador,San Salvador,93.0,,S1,,el-salvador-san-salvador,,,221.0,81.11,0.1465910491924547
101,,EL SALVADOR,EL SALVADOR,45,US,UK,101,San Salvador,San Salvador,93.0,,S1,,el-salvador-san-salvador,,,221.0,208.5,0.05995203836930456
102,,EL SALVADOR,El Salvador,45,US,UN,102,San Salvador,San Salvador,93.0,,S1,,el-salvador-san-salvador,,,221.0,250.0,-0.116
103,,EQUATORIAL GUINEA,EQUATORIAL GUINEA,46,US,UK,103,Malabo,Malabo,114.0,,S1,,equatorial-guinea-malabo,,,299.0,552.7067479063044,-0.4590259642520469
104,,EQUATORIAL GUINEA,Equatorial Guinea,46,US,UN,104,Malabo,Malabo,114.0,,S1,,equatorial-guinea-malabo,,,299.0,247.0,0.21052631578947367
105,,ERITREA,Eritrea,47,US,Canada,105,Asmara,Asmara,108.0,,S1,,eritrea-asmara,,,243.0,114.63314969478876,-0.057864149353389877
106,,ERITREA,ERITREA,47,US,UK,106,Asmara,Asmara,108.0,,S1,,eritrea-asmara,,,243.0,218.24910875222733,0.11340660857347065
107,,ERITREA,Eritrea,47,US,UN,107,Asmara,Asmara,108.0,,S1,,eritrea-asmara,,,243.0,215.0,0.13023255813953488
108,,ESTONIA,Estonia,48,US,Canada,108,Tallinn,Tallinn,122.0,,S1,,estonia-tallinn,,,268.0,158.30531309999995,-0.22933730011364958
109,,ESTONIA,ESTONIA,48,US,UK,109,Tallinn,Tallinn,122.0,,S1,,estonia-tallinn,,,268.0,205.318608,0.3052884130209961
110,,ESTONIA,Estonia,48,US,UN,110,Tallinn,Tallinn,122.0,,S1,,estonia-tallinn,,,268.0,321.0,-0.16510903426791276
111,,ETHIOPIA,Ethiopia,49,US,Canada,111,Addis Ababa,Addis Ababa,85.0,,S1,,ethiopia-addis-ababa,,,400.0,79.58281834639742,0.06806973874716778
112,,ETHIOPIA,ETHIOPIA,49,US,UK,112,Addis Ababa,Addis Ababa,85.0,,S1,,ethiopia-addis-ababa,,,400.0,337.597187400464,0.18484399434735996
113,,ETHIOPIA,Ethiopia,49,US,UN,113,Addis Ababa,Addis Ababa,85.0,,S1,,ethiopia-addis-ababa,,,400.0,198.0,1.02020202020202
114,,FIJI,Fiji,50,US,Canada,114,Suva,Suva,102.0,,S1,,fiji-suva,,,305.0,137.7605037442163,-0.25958458899521597
115,,FIJI,FIJI,50,US,UK,115,Suva,Suva,102.0,,S1,,fiji-suva,,,305.0,206.93429664673766,0.4738977779051897
116,,FIJI,Fiji,50,US,UN,116,Suva,Suva,102.0,,S1,,fiji-suva,,,305.0,258.0,0.1821705426356589
117,,FINLAND,Finland,51,US,Canada,117,Helsinki,Helsinki,127.0,,S1,,finland-helsinki,,,349.0,199.49735883,-0.3634000933905998
118,,FINLAND,FINLAND,51,US,UK,118,Helsinki,Helsinki,127.0,,S1,,finland-helsinki,,,349.0,266.5642155,0.30925300436659703
119,,FINLAND,Finland,51,US,UN,119,Helsinki,Helsinki,127.0,,S1,,finland-helsinki,,,349.0,351.0,-0.005698005698005698
120,,FRANCE,France,52,US,Canada,120,Paris,Paris,190.0,,S1,,france-paris,,,631.0,210.34658073,-0.09672883989550933
121,,FRANCE,FRANCE,52,US,UK,121,Paris,Paris,190.0,,S1,,france-paris,,,631.0,369.2235195,0.708991888855011
122,,FRANCE,France,52,US,UN,122,Paris,Paris,190.0,,S1,,france-paris,,,631.0,401.0,0.57356608478803
123,,GABON,Gabon,53,US,Canada,123,Libreville,Libreville,115.0,,S1,,gabon-libreville,,,307.0,153.35179105028342,-0.25009027144461604
124,,GABON,Gabon,53,US,UN,124,Libreville,Libreville,115.0,,S1,,gabon-libreville,,,307.0,365.0,-0.1589041095890411
125,,GEORGIA,Georgia,55,US,Canada,125,Tbilisi,Tbilisi,105.0,,S1,,georgia-tbilisi,,,341.0,89.31359447999998,0.17563289901530818
126,,GEORGIA,GEORGIA,55,US,UK,126,Tbilisi,Tbilisi,105.0,,S1,,georgia-tbilisi,,,341.0,307.5920247068677,0.10861131827123871
127,,GERMANY,Germany,56,US,Canada,127,Berlin,Berlin,120.0,,S1,,germany-berlin,,,367.0,184.48343562,-0.34953509730176174
128,,GERMANY,GERMANY,56,US,UK,128,Berlin,Berlin,120.0,,S1,,germany-berlin,,,367.0,279.3966285,0.3135448411468572
129,,GERMANY,Germany,56,US,UN,129,Berlin,Berlin,120.0,,S1,,germany-berlin,,,367.0,346.0,0.06069364161849711
130,,GHANA,Ghana,57,US,Canada,130,Accra,Accra,99.0,,S1,,ghana-accra,,,331.0,109.93484498840635,-0.09946659759750909
131,,GHANA,GHANA,57,US,UK,131,Accra,Accra,99.0,,S1,,ghana-accra,,,331.0,232.0613537000552,0.42634693249193634
132,,GHANA,Ghana,57,US,UN,132,Accra,Accra,99.0,,S1,,ghana-accra,,,331.0,398.0,-0.16834170854271358
133,,GREECE,Greece,58,US,Canada,133,Athens,Athens,131.0,,S1,,greece-athens,,,331.0,187.94818713,-0.3029993957356454
134,,GREECE,GREECE,58,US,UK,134,Athens,Athens,131.0,,S1,,greece-athens,,,331.0,257.814843,0.28386712009440046
135,,GREECE,Greece,58,US,UN,135,Athens,Athens,131.0,,S1,,greece-athens,,,331.0,310.0,0.06774193548387097
136,,GUATEMALA,Guatemala,59,US,Canada,136,Guatemala City,Guatemala City,96.0,,S1,,guatemala-guatemala-city,,,240.0,116.41699822226937,-0.17537815382671335
137,,GUATEMALA,GUATEMALA,59,US,UK,137,Guatemala City,Guatemala City,96.0,,S1,,guatemala-guatemala-city,,,240.0,260.0,-0.07692307692307693
138,,GUATEMALA,Guatemala,59,US,UN,138,Guatemala City,Guatemala City,96.0,,S1,,guatemala-guatemala-city,,,240.0,185.0,0.2972972972972973
139,,GUINEA-BISSAU,Guinea-Bissau,60,US,Canada,139,Bissau,Bissau,78.0,,S1,,guinea-bissau-bissau,,,238.0,99.83466481728226,-0.218708249857343
140,,GUINEA-BISSAU,Guinea Bissau,60,US,UN,140,Bissau,Bissau,78.0,,S1,,guinea-bissau-bissau,,,238.0,175.0,0.36
141,,GUINEA,Guinea,61,US,Canada,141,Conakry,Conakry,103.0,,S1,,guinea-conakry,,,327.0,106.18663452520693,-0.0300097515987332
142,,GUINEA,GUINEA,61,US,UK,142,Conakry,Conakry,103.0,,S1,,guinea-conakry,,,327.0,149.8124850736841,1.182728627985629
143,,GUINEA,Guinea,61,US,UN,143,Conakry,Conakry,103.0,,S1,,guinea-conakry,,,327.0,240.0,0.3625
144,,GUYANA,Guyana,62,US,Canada,144,Georgetown,Georgetown,107.0,,S1,,guyana-georgetown,,,283.0,126.51937387895927,-0.1542797223896587
145,,GUYANA,GUYANA,62,US,UK,145,Georgetown,Georgetown,107.0,,S1,,guyana-georgetown,,,283.0,253.27510344030617,0.11736209424429127
146,,GUYANA,Guyana,62,US,UN,146,Georgetown,Georgetown,107.0,,S1,,guyana-georgetown,,,283.0,265.0,0.06792452830188679
147,,HAITI,Haiti,63,US,Canada,147,Port-au-Prince,Port-au-Prince,111.0,,S1,,haiti-port-au-prince,,,266.0,122.17,-0.09142997462552183
148,,HAITI,HAITI,63,US,UK,148,Port-au-Prince,Port au Prince,111.0,,S1,,haiti-port-au-prince,,,266.0,200.0,0.33
149,,HAITI,Haiti,63,US,UN,149,Port-au-Prince,Port-Au-Prince,111.0,,S1,,haiti-port-au-prince,,,266.0,221.0,0.20361990950226244
